,,,,,,,,,
2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"8,47,692","8,47,692","8,47,692","8,47,692","8,47,692","8,47,692","8,47,692","8,47,692","8,47,692","8,47,692"
"49,54,415","49,54,415","49,54,415","49,54,415","49,54,415","49,54,415","49,54,415","49,54,415","49,54,415","49,54,415"
"14,63,054","14,63,054","14,63,054","14,63,054","14,63,054","14,63,054","14,63,054","14,63,054","14,63,054","14,63,054"
"72,65,161","72,65,161","72,65,161","72,65,161","72,65,161","72,65,161","72,65,161","72,65,161","72,65,161","72,65,161"
"26,14,747","26,14,747","26,14,747","26,14,747","26,14,747","26,14,747","26,14,747","26,14,747","26,14,747","26,14,747"
"5,19,821","5,19,821","5,19,821","5,19,821","5,19,821","5,19,821","5,19,821","5,19,821","5,19,821","5,19,821"
"2,74,474","2,74,474","2,74,474","2,74,474","2,74,474","2,74,474","2,74,474","2,74,474","2,74,474","2,74,474"
"1,85,083","1,85,083","1,85,083","1,85,083","1,85,083","1,85,083","1,85,083","1,85,083","1,85,083","1,85,083"
"21,866","21,866","21,866","21,866","21,866","21,866","21,866","21,866","21,866","21,866"
"4,019","4,019","4,019","4,019","4,019","4,019","4,019","4,019","4,019","4,019"
"1,091","1,091","1,091","1,091","1,091","1,091","1,091","1,091","1,091","1,091"
"10,368","10,368","10,368","10,368","10,368","10,368","10,368","10,368","10,368","10,368"
"36,31,469","36,31,469","36,31,469","36,31,469","36,31,469","36,31,469","36,31,469","36,31,469","36,31,469","36,31,469"
"1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630","1,08,96,630"
,,,,,,,,,
"3,17,423","3,17,423","3,17,423","3,17,423","3,17,423","3,17,423","3,17,423","3,17,423","3,17,423","3,17,423"
"76,414","76,414","76,414","76,414","76,414","76,414","76,414","76,414","76,414","76,414"
"53,236","53,236","53,236","53,236","53,236","53,236","53,236","53,236","53,236","53,236"
"61,376","61,376","61,376","61,376","61,376","61,376","61,376","61,376","61,376","61,376"
"5,138","5,138","5,138","5,138","5,138","5,138","5,138","5,138","5,138","5,138"
"91,857","91,857","91,857","91,857","91,857","91,857","91,857","91,857","91,857","91,857"
"6,05,444","6,05,444","6,05,444","6,05,444","6,05,444","6,05,444","6,05,444","6,05,444","6,05,444","6,05,444"
"1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074","1,15,02,074"
"1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220","1,41,19,220"
,,,,,,,,,
"96,254","96,254","96,254","96,254","96,254","96,254","96,254","96,254","96,254","96,254"
"44,667","44,667","44,667","44,667","44,667","44,667","44,667","44,667","44,667","44,667"
"29,618","29,618","29,618","29,618","29,618","29,618","29,618","29,618","29,618","29,618"
"13,543","13,543","13,543","13,543","13,543","13,543","13,543","13,543","13,543","13,543"
"3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675","3,675"
"3,038","3,038","3,038","3,038","3,038","3,038","3,038","3,038","3,038","3,038"
"8,519","8,519","8,519","8,519","8,519","8,519","8,519","8,519","8,519","8,519"
"1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306"
978,978,978,978,978,978,978,978,978,978
348,348,348,348,348,348,348,348,348,348
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,,,,,,,,,
,,,,,,,,,
2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20,2019-20
,,,,,,,,,
"39,87,895","39,87,895","39,87,895","39,87,895","39,87,895","39,87,895","39,87,895","39,87,895","39,87,895","39,87,895"
"4,94,728","4,94,728","4,94,728","4,94,728","4,94,728","4,94,728","4,94,728","4,94,728","4,94,728","4,94,728"
"41,504","41,504","41,504","41,504","41,504","41,504","41,504","41,504","41,504","41,504"
"50,056","50,056","50,056","50,056","50,056","50,056","50,056","50,056","50,056","50,056"
"32,463","32,463","32,463","32,463","32,463","32,463","32,463","32,463","32,463","32,463"
"15,658","15,658","15,658","15,658","15,658","15,658","15,658","15,658","15,658","15,658"
"25,687","25,687","25,687","25,687","25,687","25,687","25,687","25,687","25,687","25,687"
"33,106","33,106","33,106","33,106","33,106","33,106","33,106","33,106","33,106","33,106"
"4,723","4,723","4,723","4,723","4,723","4,723","4,723","4,723","4,723","4,723"
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,,,,,,,,,
"30,65,106","30,65,106","30,65,106","30,65,106","30,65,106","30,65,106","30,65,106","30,65,106","30,65,106","30,65,106"
"5,75,141","5,75,141","5,75,141","5,75,141","5,75,141","5,75,141","5,75,141","5,75,141","5,75,141","5,75,141"
"2,61,835","2,61,835","2,61,835","2,61,835","2,61,835","2,61,835","2,61,835","2,61,835","2,61,835","2,61,835"
"1,85,961","1,85,961","1,85,961","1,85,961","1,85,961","1,85,961","1,85,961","1,85,961","1,85,961","1,85,961"
"2,75,956","2,75,956","2,75,956","2,75,956","2,75,956","2,75,956","2,75,956","2,75,956","2,75,956","2,75,956"
"84,720","84,720","84,720","84,720","84,720","84,720","84,720","84,720","84,720","84,720"
"1,75,243","1,75,243","1,75,243","1,75,243","1,75,243","1,75,243","1,75,243","1,75,243","1,75,243","1,75,243"
"14,383","14,383","14,383","14,383","14,383","14,383","14,383","14,383","14,383","14,383"
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,,,,,,,,,
"10,32,903","10,32,903","10,32,903","10,32,903","10,32,903","10,32,903","10,32,903","10,32,903","10,32,903","10,32,903"
"36,481","36,481","36,481","36,481","36,481","36,481","36,481","36,481","36,481","36,481"
"50,663","50,663","50,663","50,663","50,663","50,663","50,663","50,663","50,663","50,663"
33,33,33,33,33,33,33,33,33,33
"3,831","3,831","3,831","3,831","3,831","3,831","3,831","3,831","3,831","3,831"
"1,646","1,646","1,646","1,646","1,646","1,646","1,646","1,646","1,646","1,646"
"4,18,081","4,18,081","4,18,081","4,18,081","4,18,081","4,18,081","4,18,081","4,18,081","4,18,081","4,18,081"
"2,426","2,426","2,426","2,426","2,426","2,426","2,426","2,426","2,426","2,426"
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
